code,post_office
50225,Mukhe
90216,Mulango
50134,Munami
50425,Mungatsi
10228,Murarandia
20316,Murungaru
90211,Mutha
90113,Muthetheni
90117,Mutituni
40628,Mutumbu
80305,Mwatate
90400,Mwingi
100,Nairobi General Post Office
20117,Naivasha
207,Namanga
50231,Namorio
50239,Nangili
20505,Naro
90118,Ndalani
50212,Ndalu
20420,Ndaraweta
229,Nderu
40321,Ndiru
90202,Ndooa
80311,Ngambwa
600,Ngara Road
20324,Ngelesha
40603,Ngiya
208,Ngong Hills
225,Ngorongo
90129,Ngwata
60214,Nkondi
20318,North Kinangop
90408,Nuu
40217,Nyacheki
40125,Nyakwere
40206,Nyamarambe
40632,Nyamonye
40127,Nyangori
40502,Nyansiongo
30131,Nyaru
506,Nyayo Stadium
90136,Nzeeka
50237,Nzoia
40204,Ogembo
90301,Okia
20421,Olbutyo
20503,Olololunga
213,Oltepesi
40111,Onditi
30602,Ortum
40411,Othoch Rakuom
40222,Oyugis
20311,Passenga
30116,Plateau
624,Quarry Road
40604,Ragengni
40142,Ramula
40303,Rangwe
40106,Miwani
20403,Mogogosiek
80115,Moi Airport
30107,Moi University
80502,Mokowe
10105,Moru
20125,Mosque Road
80503,Mpeketoni
80111,Mtongwe
50423,Mubwayo
40627,Mudhiero
10129,Mugunda
20323,Muhotetu
1023,Mukerenju
40410,Mukuro
50428,Muluanda
50424,Mundika
10130,Munyu
1024,Muruka
60120,Mururi
60605,Muthaara
10131,Muthinga
90201,Mutomo
90114,Muumandu
10104,Mweiga
50226,Myanga
20142,Naishi
20100,Nakuru
50127,Nambacha
30301,Nandi
40615,Nango
SURA,Narok
30123,Ndalat
20404,Ndanai
230,Ndenderu
40302,Ndhiwa
1016,Ndithini
40602,Ndori
60115,Nganduri
20328,Ngarua
901,Ngewa
1012,Ngoliba
505,Ngong Road
90407,Nguni
40702,Njipiship
60202,Nkubu
40417,Ntimaru
40124,Nyabondo
40631,Nyadorera
80118,Nyali
40205,Nyambunwa
40419,Nyamtiro
40218,Nyangusu
40219,Nyanturago
40402,Nyatike
10100,Nyeri
90143,Nziu
50427,Obekai
40130,Ogen
20302,Ol Joro Orok
20152,Olenguruone
20424,Oloomirani
40306,Omboga
511,Ongata Rongai
40324,Otaro
40224,Othoro
40329,Pala
40131,Paw Akuche
50410,Port Victoria
40132,Rabuor
40325,Rakwaro
40412,Ranen
40403,Rapogi
80106,Mkomani
40216,Mogonga
700,Moi Avenue
30202,Moi's Bridge
20106,Molo
40207,Mosocho
60700,Moyale
80404,Msambweni
80117,Mtopanga
10222,Muchungucha
228,Muguga
234,Muhoho
40409,Muhuru Bay
20315,Mukeu
10103,Mukurweini
50102,Mumias
235,Mundoro
10200,Muranga
50426,Murumba
50125,Musanda
619,Muthaiga
10223,Muthithi
60606,Mutuati
90102,Mwala
10132,Mweru
20504,Nairage Enkare
50211,Naitiri
50227,Nalondo
50409,Nambale
HILLS,Nandolia
10400,Nanyuki
1025,Ndakaini
30219,Ndalu
20306,Ndaragwa
40629,Ndere
40630,Ndigwa
50229,Ndiyisi
20317,Ndunyu Njeru
20308,Ngano
218,Ngecha
30404,Nginyang
10229,Ngonda
20126,Ngorika
10224,Nguyoini
20107,Njoro
20154,North Kinangop
90130,Nunguni
40322,Nyaburi
20300,Nyahururu
40203,Nyamache
40500,Nyamira
40126,Nyangande
40311,Nyangweso
40514,Nyaramba
40633,Nyawara
40611,Nyilima
90308,Nziu
40129,Oboch
40323,Ogongo
20303,Ol Kalou
